Time_Sec,CPU_Usage,RAM_Usage_MB,Temp_C
5e-07,nan,1659.46,33.102
1.00069,4.53401,1658.36,32.615
2.00159,2.75,1653.75,33.589
3.00222,5.02513,1653.69,34.076
4.00263,2.01005,1651.43,33.102
5.00299,1,1649.9,33.102
6.00335,1.74129,1648.21,33.589
7.00374,0.502513,1646.11,33.589
8.00414,4.25,1646.55,33.589
9.00471,1.76322,1644.27,34.076
10.0054,1.49254,1643.74,31.641
11.0061,1.25628,1643.39,32.615
12.0068,1.75439,1643.28,32.128
13.0074,3.02267,1643.5,33.589
14.0078,1.50376,1643.01,33.102
15.0082,0.501253,1643.01,33.102
16.0086,1.75,1643.01,33.102
17.0089,0.75,1643.01,33.102
18.0093,2.25,1643.36,33.102
19.01,2.01005,1642.73,32.615
20.0106,1.50376,1642.73,32.615
21.0113,0.75,1642.73,32.128
22.012,1.00756,1642.73,33.589
23.0126,4.01003,1643.1,32.615
24.013,1.50754,1643.21,33.102
25.0134,0,1643.21,33.102
