Time_Sec,CPU_Usage,RAM_Usage_MB,Temp_C
3.15e-07,nan,1727.23,35.537
1.00062,3.23383,1727.43,35.05
2.002,3.52645,1724.92,35.537
3.00237,1.75,1724.92,35.537
4.00275,0.502513,1724.92,35.05
5.00314,2.25564,1725.04,35.537
6.0035,0.755668,1724.79,36.024
7.00419,1.00503,1724.79,35.537
8.00534,1.00756,1724.79,35.05
9.00649,1.50376,1724.79,35.537
10.0076,4.27136,1724.6,35.05
11.0082,1.49626,1724.53,36.024
12.0086,0.502513,1724.53,35.537
13.009,0.75188,1724.53,35.05
14.0093,0.75,1724.53,35.05
15.0098,2.50627,1724.86,35.05
16.0104,1.76322,1724.33,34.076
17.0111,1.00503,1724.33,34.563
18.0118,1.50376,1724.33,34.563
19.0125,1.00756,1724.33,34.563
20.0132,4.0201,1724.75,34.563
21.0135,0.753769,1724.67,35.05
22.0139,0.502513,1724.67,35.05
23.0145,0.501253,1724.67,35.537
24.0151,0.75188,1724.67,35.537
25.0158,2.25564,1725.55,35.05
26.017,1.75879,1725.48,34.563
27.0176,1.0101,1725.73,35.537
28.0188,1.25313,1725.73,34.076
29.0194,1.00503,1725.73,34.563
30.0201,4.55696,1725.48,36.024
31.0205,13.7845,1728.67,36.998
32.021,17.5573,1760.68,36.998
33.0218,10.5793,1784.56,35.537
34.0222,1.51515,1787.16,35.537
35.0226,4.28212,1788.82,35.537
36.0232,3.08483,1789.02,36.024
37.0238,4.0404,1789.02,34.563
38.0244,2.53807,1788.25,35.05
39.025,2.54453,1787.89,36.024
40.0256,4.53401,1791.52,35.537
41.026,2.50627,1791.16,35.537
42.0264,2.49377,1790.13,35.537
43.0268,1.01523,1789.9,36.024
44.0272,1.51899,1787.86,36.024
45.0276,2.79188,1788.3,36.024
46.0282,4.81013,1786.16,35.537
47.0288,2.03046,1785.17,35.537
48.0294,2.29592,1784.75,35.537
49.03,2.82051,1781.67,36.024
50.0306,3.80711,1784.32,35.537
51.0309,1.27551,1778.89,36.024
52.0313,1.77215,1778.86,36.024
53.0317,1.51899,1778.86,35.537
54.0322,1.26263,1778.82,36.024
55.0326,4.55696,1780.12,36.024
56.0333,3.58056,1779.7,35.537
57.0341,3.06122,1785.27,35.05
58.0347,2.30769,1785.12,35.537
59.0353,3.57143,1784.4,35.537
60.0358,5.08906,1785.81,36.024
61.0362,3.26633,1780.62,35.537
62.0366,2.51256,1729.79,36.024
63.037,0.251256,1729.39,36.024
64.0378,0.502513,1728.36,36.511
65.0385,2.5,1726.46,35.05
66.0391,2.25564,1724.96,35.537
67.0398,1.75,1724.44,36.024
68.0405,2.51889,1723.99,35.537
69.0413,2.25564,1723.59,35.05
70.0419,4.03023,1723.44,35.537
71.0427,1.51134,1721.23,35.05
72.0433,1.50754,1721.23,36.024
73.044,1.5,1721.23,35.537
74.0447,0.755668,1721.23,35.05
75.0453,4.0404,1721.48,35.537
76.0457,1.24688,1721.48,35.05
77.0461,0.502513,1721.48,36.024
78.0465,0.997506,1721.48,35.05
79.0469,0,1721.48,35.537
80.0473,2.75,1723.45,35.05
81.048,1.76322,1723.45,36.024
82.0486,1.75,1722.99,36.024
83.0493,1.00503,1722.99,34.563
84.05,1.00756,1722.73,34.563
85.0507,4.03023,1723.36,35.537
86.051,1.25313,1723.16,36.024
87.0514,0.502513,1723.16,35.05
88.0518,0.501253,1723.16,35.537
89.0523,0.997506,1723.16,36.024
90.0527,2.51889,1722.76,36.024
